"Name","Category","IsSO","IsMono","IsSave","IsUI","IsValidator"
"GameController.cs","Scripts","False","True","False","False","False"
"AccessGate.cs","Access","False","True","False","False","False"
"AccessProfileDefinition.cs","Access","True","False","False","False","False"
"PlayerAccessLog.cs","Access","False","True","True","False","False"
"AccessProfileRequirement.cs","Activities","False","False","False","False","False"
"ActivityActionRunner.cs","Activities","False","True","False","False","False"
"ActivityAreaRequirement.cs","Activities","False","False","False","False","False"
"ActivityCompletionRequirement.cs","Activities","False","False","False","False","False"
"ActivityCost.cs","Activities","False","False","False","False","False"
"ActivityDefinition.cs","Activities","True","False","False","False","False"
"ActivityOutcomeDefinition.cs","Activities","True","False","False","False","False"
"ActivityPermissionDefinition.cs","Activities","True","False","False","False","True"
"ActivityPermissionRequirement.cs","Activities","False","False","False","False","False"
"ActivityRequirement.cs","Activities","True","False","False","False","False"
"ActivityZone.cs","Activities","False","True","False","False","False"
"ActivityZoneDefinition.cs","Activities","True","False","False","False","True"
"ActivityZoneModifierDefinition.cs","Activities","True","False","False","False","False"
"AreaProfileRequirement.cs","Activities","False","False","False","False","False"
"AssignmentRequirement.cs","Activities","False","False","False","False","False"
"BattleRuleRequirement.cs","Activities","False","False","False","False","False"
"CalendarRequirement.cs","Activities","False","False","False","False","False"
"CampStationDefinition.cs","Activities","True","False","False","False","False"
"CampStationSource.cs","Activities","False","True","False","False","False"
"CareerRequirement.cs","Activities","False","False","False","False","False"
"ChronicleRequirement.cs","Activities","False","False","False","False","False"
"CompanionExpeditionRequirement.cs","Activities","False","False","False","False","False"
"CompanionExpeditionRouteRequirement.cs","Activities","False","False","False","False","False"
"CompanionRequirement.cs","Activities","False","False","False","False","False"
"CompetitionBracketRequirement.cs","Activities","False","False","False","False","False"
"CompetitionHonorRequirement.cs","Activities","False","False","False","False","False"
"CompetitionInvitationRequirement.cs","Activities","False","False","False","False","False"
"CompetitionPrizeRequirement.cs","Activities","False","False","False","False","False"
"CompetitionRankingRequirement.cs","Activities","False","False","False","False","False"
"CompetitionRegistrationRequirement.cs","Activities","False","False","False","False","False"
"CompetitionRegistrationWindowRequirement.cs","Activities","False","False","False","False","False"
"CompetitionRequirement.cs","Activities","False","False","False","False","False"
"CompetitionSeasonRequirement.cs","Activities","False","False","False","False","False"
"CompetitionVenueRequirement.cs","Activities","False","False","False","False","False"
"ConsequenceChainRequirement.cs","Activities","False","False","False","False","False"
"ContestRequirement.cs","Activities","False","False","False","False","False"
"CustomizationRequirement.cs","Activities","False","False","False","False","False"
"EncounterLogRequirement.cs","Activities","False","False","True","False","False"
"InvestigationRequirement.cs","Activities","False","False","False","False","False"
"ItemRequirement.cs","Activities","False","False","False","False","False"
"JobStatusRequirement.cs","Activities","False","False","False","False","False"
"JourneyIncidentBoardDefinition.cs","Activities","True","False","False","False","False"
"JourneyIncidentDefinition.cs","Activities","True","False","False","False","False"
"JourneyIncidentSource.cs","Activities","False","True","False","False","False"
"LawRequirement.cs","Activities","False","False","False","False","False"
"LearnableOfferRequirement.cs","Activities","False","False","False","False","False"
"LifePathRequirement.cs","Activities","False","False","False","False","False"
"LifestyleRequirement.cs","Activities","False","False","False","False","False"
"LocationVisitRequirement.cs","Activities","False","False","False","False","False"
"LoyaltyProgramRequirement.cs","Activities","False","False","False","False","False"
"MapMarkerRequirement.cs","Activities","False","False","False","False","False"
"MapNavigationRequirement.cs","Activities","False","False","False","False","False"
"MilestoneRequirement.cs","Activities","False","False","False","False","False"
"NavigationHintRequirement.cs","Activities","False","False","False","False","False"
"NPCMemoryRequirement.cs","Activities","False","False","False","False","False"
"NPCReactionRequirement.cs","Activities","False","False","False","False","False"
"OrganizationRequirement.cs","Activities","False","False","False","False","False"
"OriginRequirement.cs","Activities","False","False","False","False","False"
"PlayerActivityContext.cs","Activities","False","False","False","False","False"
"PlayerActivityJournal.cs","Activities","False","True","False","False","False"
"PlayerCampStationLog.cs","Activities","False","True","True","False","False"
"PlayerJourneyIncidentLog.cs","Activities","False","True","True","False","False"
"PlayerRoleActivityBoardLog.cs","Activities","False","True","True","False","False"
"PokemonCareFacilityRequirement.cs","Activities","False","False","False","False","False"
"PokemonCareRequirement.cs","Activities","False","False","False","False","False"
"PokemonMoodRequirement.cs","Activities","False","False","False","False","False"
"PokeNavFeedRequirement.cs","Activities","False","False","False","False","False"
"PokeNavGuideRequirement.cs","Activities","False","False","False","False","False"
"PokeNavRequirement.cs","Activities","False","False","False","False","False"
"PowerMechanicRequirement.cs","Activities","False","False","False","False","False"
"RecipeRequirement.cs","Activities","False","False","False","False","False"
"RelationshipRequirement.cs","Activities","False","False","False","False","False"
"ReportPropagationRequirement.cs","Activities","False","False","False","False","False"
"ReputationRequirement.cs","Activities","False","False","False","False","False"
"ResearchRequirement.cs","Activities","False","False","False","False","False"
"RideRequirement.cs","Activities","False","False","False","False","False"
"RiskRequirement.cs","Activities","False","False","False","False","False"
"RoleActivityBoardDefinition.cs","Activities","True","False","False","False","False"
"RoleActivityBoardSource.cs","Activities","False","True","False","False","False"
"RumorLifecycleRequirement.cs","Activities","False","False","False","False","False"
"RumorRequirement.cs","Activities","False","False","False","False","False"
"SceneObjectRequirement.cs","Activities","False","False","False","False","False"
"SceneSpawnRequirement.cs","Activities","False","False","False","False","False"
"ServicePackageRequirement.cs","Activities","False","False","False","False","False"
"ServiceRequirement.cs","Activities","False","False","False","False","False"
"ShopBasketRequirement.cs","Activities","False","False","False","False","False"
"ShopPurchaseRequirement.cs","Activities","False","False","False","False","False"
"ShopShelfRequirement.cs","Activities","False","False","False","False","False"
"SkillLevelRequirement.cs","Activities","False","False","False","False","False"
"SponsorRequirement.cs","Activities","False","False","False","False","False"
"TimePeriodRequirement.cs","Activities","False","False","False","False","False"
"TitleRequirement.cs","Activities","False","False","False","False","False"
"ToolRequirement.cs","Activities","False","False","False","False","False"
"TransitRouteRequirement.cs","Activities","False","False","False","False","False"
"WitnessReportRequirement.cs","Activities","False","False","False","False","False"
"WorldConditionRequirement.cs","Activities","False","False","False","False","False"
"WorldDiscoveryRequirement.cs","Activities","False","False","False","False","False"
"WorldEventRequirement.cs","Activities","False","False","False","False","False"
"WorldRegionRequirement.cs","Activities","False","False","False","False","False"
"WorldTriggerRequirement.cs","Activities","False","False","False","False","False"
"AreaProfileDefinition.cs","AreaProfiles","True","False","False","False","True"
"AreaProfileSource.cs","AreaProfiles","False","True","False","False","False"
"PlayerAreaProfileLog.cs","AreaProfiles","False","True","True","False","False"
"AssignmentDefinition.cs","Assignments","True","False","False","False","False"
"AssignmentSource.cs","Assignments","False","True","False","False","False"
"PlayerAssignmentLog.cs","Assignments","False","True","True","False","False"
"AudioManager.cs","Audio","False","True","False","False","False"
"BattleAction.cs","Battle","False","False","False","False","False"
"BattleAIProfile.cs","Battle","True","False","False","False","True"
"BattleDialogBox.cs","Battle","False","True","True","False","False"
"BattleField.cs","Battle","False","False","False","False","False"
"BattleHud.cs","Battle","False","True","False","False","False"
"BattleSystem.cs","Battle","False","True","False","False","False"
"BattleUnit.cs","Battle","False","True","False","False","False"
"HPBar.cs","Battle","False","True","False","False","False"
"PartyMemberUI.cs","Battle","False","True","False","True","False"
"PokeballAnimator.cs","Battle","False","True","False","False","False"
"AboutToUseState.cs","State","False","False","False","False","False"
"ActionSelectionState.cs","State","False","False","False","False","False"
"MoveSelectionState.cs","State","False","False","False","False","False"
"RunTurnState.cs","State","False","False","False","False","False"
"TargetSelectionState.cs","State","False","False","False","False","False"
"ActionSelectionUI.cs","UI","False","False","False","True","False"
"MoveSelectionUI.cs","UI","False","True","False","True","False"
"BattleChallengeDefinition.cs","BattleRules","True","False","False","False","False"
"BattleModeDefinition.cs","BattleRules","True","False","False","False","False"
"BattleRuleManager.cs","BattleRules","False","True","False","False","False"
"BattleRuleNegotiator.cs","BattleRules","False","True","False","False","False"
"BattleRuleSetDefinition.cs","BattleRules","True","False","False","False","False"
"PlayerBattleModeSettings.cs","BattleRules","False","True","False","False","False"
"PlayerBattleRuleLog.cs","BattleRules","False","True","True","False","False"
"CalendarEventDefinition.cs","Calendar","True","False","False","False","False"
"CalendarEventSource.cs","Calendar","False","True","False","False","False"
"PlayerCalendarLog.cs","Calendar","False","True","True","False","False"
"CareerMentor.cs","Careers","False","True","False","False","False"
"CareerPathDefinition.cs","Careers","True","False","False","False","False"
"CareerPointSource.cs","Careers","False","True","False","False","False"
"PlayerCareerLog.cs","Careers","False","True","True","False","False"
"Character.cs","Character","False","True","False","False","False"
"CharacterAnimator.cs","Character","False","True","False","False","False"
"Healer.cs","Character","False","True","False","False","False"
"Merchant.cs","Character","False","True","False","False","False"
"NPCController.cs","Character","False","True","False","False","False"
"PersonalityProfile.cs","Character","False","True","False","False","False"
"PlayerController.cs","Character","False","True","False","False","False"
"TrainerController.cs","Character","False","True","False","False","False"
"TrainerFov.cs","Character","False","True","False","False","False"
"ChronicleCaptureRuleDefinition.cs","Chronicle","True","False","False","False","False"
"ChronicleEntryDefinition.cs","Chronicle","True","False","False","False","False"
"ChronicleSource.cs","Chronicle","False","True","False","False","False"
"PlayerChronicleLog.cs","Chronicle","False","True","True","False","False"
"PhoneCallManager.cs","Communication","False","True","False","False","False"
"PhoneContactDefinition.cs","Communication","True","False","False","False","False"
"PhoneContactSource.cs","Communication","False","True","False","False","False"
"PhoneTerminal.cs","Communication","False","True","False","False","False"
"PlayerPhoneLog.cs","Communication","False","True","True","False","False"
"CompanionController.cs","Companion","False","True","False","False","False"
"CompanionExpeditionBoard.cs","Companion","False","True","False","False","False"
"CompanionExpeditionDefinition.cs","Companion","True","False","False","False","True"
"CompanionExpeditionRouteBoard.cs","Companion","False","True","False","False","False"
"CompanionExpeditionRouteDefinition.cs","Companion","True","False","False","False","True"
"CompanionPerkDefinition.cs","Companion","True","False","False","False","True"
"CompanionPokemonRosterDefinition.cs","Companion","True","False","False","False","False"
"CompanionPokemonTeam.cs","Companion","False","True","False","False","False"
"CompanionPokemonTeamSource.cs","Companion","False","True","False","False","False"
"CompanionRole.cs","Companion","False","False","False","False","False"
"CompanionRoleDefinition.cs","Companion","True","False","False","False","False"
